sample,replicate,time,plaque,dilution
lysogen,c,24,0,1.00E-02
lysogen,c,24,0,1.00E-03
lysate,a,0,,1.00E+00
lysate,a,0,,1.00E-01
lysate,a,0,4,1.00E-02
lysate,a,0,0,1.00E-03
lysate,a,6,,1.00E+00
lysate,a,6,,1.00E-01
lysate,a,6,6,1.00E-02
lysate,a,6,3,1.00E-03
lysate,a,26,,1.00E+00
lysate,a,26,,1.00E-01
lysate,a,26,6,1.00E-02
lysate,a,26,1,1.00E-03
lysate,b,0,,1.00E+00
lysate,b,0,,1.00E-01
lysate,b,0,19,1.00E-02
lysate,b,0,1,1.00E-03
lysate,b,6,,1.00E+00
lysate,b,6,,1.00E-01
lysate,b,6,14,1.00E-02
lysate,b,6,6,1.00E-03
lysate,b,26,,1.00E+00
lysate,b,26,,1.00E-01
lysate,b,26,2,1.00E-02
lysate,b,26,1,1.00E-03
lysate,c,0,,1.00E+00
lysate,c,0,,1.00E-01
lysate,c,0,8,1.00E-02
lysate,c,0,3,1.00E-03
lysate,c,6,,1.00E+00
lysate,c,6,,1.00E-01
lysate,c,6,13,1.00E-02
lysate,c,6,4,1.00E-03
lysate,c,26,,1.00E+00
lysate,c,26,,1.00E-01
lysate,c,26,9,1.00E-02
lysate,c,26,0,1.00E-03
